label,length,punct
ham,32,0
ham,149,4
ham,117,14
ham,45,2
ham,55,3
ham,38,2
spam,143,7
ham,80,9
ham,54,6
ham,62,2
ham,52,2
ham,81,3
ham,36,0
ham,431,18
ham,62,9
ham,375,19
ham,158,9
spam,118,3
ham,52,7
ham,138,2
ham,42,2
ham,63,2
ham,22,0
ham,38,1
ham,50,3
ham,83,4
spam,157,5
ham,84,1
ham,39,4
ham,74,3
ham,53,1
ham,94,2
ham,38,0
ham,38,1
ham,75,3
ham,62,10
ham,59,6
ham,23,0
ham,37,0
ham,45,2
ham,51,1
ham,24,0
ham,43,1
ham,123,4
ham,43,0
ham,35,1
ham,46,1
spam,155,4
ham,35,2
ham,59,7
ham,32,2
ham,50,2
ham,27,0
ham,40,1
ham,37,2
ham,84,5
spam,152,12
ham,125,10
ham,45,3
ham,32,2
ham,52,2
ham,39,3
ham,32,1
ham,52,2
ham,40,2
ham,96,9
ham,31,1
spam,158,19
ham,276,20
ham,50,3
ham,26,2
ham,36,1
ham,99,2
spam,162,9
spam,149,8
ham,44,4
ham,23,0
spam,161,12
ham,63,9
ham,60,4
ham,41,4
ham,133,3
spam,30,2
ham,27,0
ham,42,2
ham,40,4
ham,17,4
ham,81,5
ham,38,1
ham,48,1
ham,35,1
ham,136,6
spam,155,6
ham,363,23
ham,40,6
ham,47,1
ham,154,6
spam,159,8
spam,144,3
ham,31,2
ham,11,4
ham,44,0
ham,88,5
spam,159,15
ham,47,5
ham,64,3
ham,24,0
ham,95,2
ham,134,2
ham,23,1
ham,32,4
ham,175,7
spam,154,7
ham,38,6
ham,35,0
ham,147,3
spam,157,3
ham,51,4
spam,161,7
ham,107,3
ham,38,2
ham,60,4
spam,159,5
ham,37,2
ham,157,2
ham,185,3
ham,28,1
spam,169,7
ham,157,9
ham,79,3
ham,40,0
ham,113,6
ham,30,2
ham,42,1
ham,41,2
ham,113,7
spam,137,7
ham,382,11
ham,87,2
ham,49,3
ham,27,1
ham,28,1
ham,26,1
ham,49,2
ham,39,1
ham,38,2
ham,31,0
ham,161,5
spam,154,7
spam,161,7
ham,25,1
ham,154,8
ham,22,0
ham,34,3
ham,45,3
ham,70,5
ham,77,0
ham,32,0
ham,50,0
ham,30,2
ham,114,4
ham,588,59
ham,114,3
spam,147,4
ham,114,4
ham,50,1
ham,141,18
ham,158,3
ham,56,2
ham,29,2
ham,39,3
ham,32,1
ham,37,1
spam,156,7
ham,159,5
ham,29,2
ham,48,0
ham,59,3
ham,29,1
ham,24,2
ham,31,2
ham,37,3
ham,193,4
ham,45,6
ham,154,8
ham,3,1
ham,32,1
ham,131,9
ham,52,0
ham,142,3
ham,104,0
ham,43,3
spam,152,6
ham,72,4
ham,105,6
ham,54,2
ham,108,6
ham,77,2
ham,42,0
ham,130,20
ham,42,4
ham,22,0
ham,30,3
ham,38,3
ham,54,10
ham,54,4
ham,66,3
ham,65,4
ham,93,6
ham,132,3
spam,158,8
ham,112,2
spam,159,13
ham,22,1
ham,68,1
ham,119,3
ham,58,2
ham,60,3
ham,54,4
ham,45,8
ham,66,5
ham,67,1
ham,77,6
spam,154,2
ham,76,6
ham,77,0
ham,175,5
spam,156,4
ham,76,11
ham,102,3
ham,39,2
ham,32,4
ham,30,0
ham,108,6
ham,141,11
ham,130,8
ham,58,3
ham,28,0
ham,77,3
ham,158,10
ham,88,2
ham,127,4
ham,110,2
ham,51,6
ham,30,2
ham,25,1
ham,96,8
ham,64,4
ham,23,1
ham,70,1
spam,181,9
spam,159,3
ham,31,3
spam,156,4
ham,113,2
ham,110,6
ham,36,1
ham,28,1
ham,23,2
ham,155,13
ham,54,1
ham,39,1
ham,154,8
ham,36,1
spam,155,4
ham,64,1
ham,36,5
spam,160,3
ham,71,4
ham,51,1
spam,121,6
ham,17,4
spam,33,0
ham,22,0
ham,26,1
ham,144,2
ham,63,5
ham,22,1
ham,89,2
ham,42,2
ham,28,4
ham,135,8
ham,78,15
ham,33,2
ham,26,1
ham,52,3
ham,29,0
ham,33,3
ham,23,2
ham,85,2
ham,101,2
ham,110,2
ham,27,0
spam,159,3
ham,58,3
ham,44,0
ham,26,5
ham,91,3
spam,48,2
ham,125,2
spam,183,6
ham,25,3
ham,69,1
spam,160,12
ham,71,3
ham,48,9
ham,28,0
ham,66,6
ham,127,2
ham,62,1
ham,26,2
spam,145,6
spam,160,4
ham,78,3
spam,151,7
spam,157,9
spam,114,9
ham,23,1
ham,85,1
ham,34,2
ham,41,3
ham,134,11
ham,25,2
ham,30,1
ham,45,2
ham,5,3
ham,23,1
ham,93,5
ham,7,1
ham,24,1
ham,129,11
spam,166,22
ham,45,4
ham,65,2
ham,48,5
ham,18,0
ham,24,1
ham,33,0
ham,25,1
ham,51,0
ham,92,2
ham,69,5
ham,25,1
ham,107,2
ham,51,3
ham,65,1
spam,160,6
ham,141,18
ham,7,3
ham,41,2
ham,67,5
ham,30,1
ham,37,0
ham,47,2
ham,36,0
spam,119,3
ham,29,2
spam,82,1
ham,36,6
ham,281,15
ham,27,3
ham,52,1
ham,66,1
spam,149,3
ham,121,5
ham,56,4
ham,92,3
spam,161,4
ham,66,0
ham,43,1
spam,158,3
ham,127,6
ham,43,1
ham,446,21
ham,99,3
ham,88,5
ham,103,6
spam,157,4
ham,24,3
ham,95,4
ham,74,3
spam,109,5
ham,158,10
ham,482,15
ham,53,2
ham,119,8
ham,31,0
ham,22,1
ham,22,2
spam,161,3
ham,38,5
ham,22,1
ham,89,5
ham,66,7
ham,191,7
ham,27,1
ham,67,3
ham,104,5
ham,96,10
ham,38,8
ham,40,4
ham,25,3
ham,24,1
ham,26,7
ham,39,3
spam,152,7
ham,54,9
ham,73,1
ham,80,1
ham,21,4
ham,148,13
ham,444,42
ham,41,0
ham,99,5
ham,33,9
ham,27,1
spam,158,13
ham,116,4
ham,24,1
ham,75,6
ham,47,2
ham,81,9
ham,115,7
spam,152,3
ham,52,6
ham,83,8
ham,41,1
ham,22,3
ham,46,3
ham,57,10
spam,157,6
ham,45,5
ham,67,4
spam,152,7
ham,26,0
ham,100,6
ham,53,7
ham,629,52
ham,235,9
ham,26,3
ham,114,0
spam,121,11
ham,45,4
ham,78,4
ham,51,3
ham,82,2
ham,28,0
ham,85,6
ham,46,3
ham,183,7
ham,22,2
ham,105,9
ham,28,7
ham,25,1
ham,23,3
ham,74,4
ham,50,4
ham,28,2
ham,44,2
ham,88,4
ham,25,2
ham,29,4
ham,39,3
ham,46,2
ham,64,3
ham,15,3
ham,126,8
ham,105,16
ham,49,3
ham,30,3
ham,23,4
ham,84,2
ham,67,3
ham,14,1
ham,68,9
ham,37,2
spam,159,8
ham,25,1
ham,84,8
ham,29,0
ham,22,0
ham,201,9
ham,137,4
spam,116,2
spam,167,7
ham,33,7
ham,101,4
ham,45,0
ham,124,3
ham,84,4
ham,42,0
ham,78,3
ham,70,2
ham,121,7
ham,81,7
ham,42,3
ham,245,6
ham,66,0
ham,139,2
spam,149,4
ham,167,16
ham,51,3
ham,55,7
ham,30,4
ham,36,0
ham,28,4
ham,306,15
ham,202,2
ham,160,10
ham,36,3
ham,20,1
ham,6,3
ham,5,3
ham,150,10
ham,73,7
ham,19,2
ham,153,7
spam,158,5
ham,45,5
ham,54,2
ham,22,4
ham,22,2
ham,67,4
ham,42,3
ham,179,4
ham,22,2
ham,80,6
ham,22,2
spam,99,5
ham,163,15
ham,46,1
ham,158,7
ham,32,6
ham,71,2
ham,34,1
ham,104,2
ham,9,3
ham,95,4
ham,29,2
ham,155,5
ham,24,0
ham,41,4
ham,106,1
ham,32,3
ham,112,3
ham,47,4
ham,27,1
ham,30,0
ham,289,19
ham,80,0
ham,70,3
spam,101,10
ham,122,2
ham,59,3
ham,58,8
ham,20,3
ham,27,2
ham,34,1
ham,31,4
spam,156,8
ham,66,5
spam,70,1
ham,65,1
ham,95,7
ham,32,1
ham,23,0
ham,36,3
ham,55,8
ham,140,11
ham,144,7
ham,30,1
ham,28,0
ham,83,4
ham,40,1
ham,32,1
ham,53,1
ham,116,1
spam,160,9
spam,153,2
ham,36,1
ham,36,2
ham,37,2
ham,54,2
ham,46,6
spam,133,2
ham,65,3
spam,130,6
ham,37,2
ham,39,1
ham,44,0
ham,82,2
ham,23,1
ham,155,6
spam,153,9
ham,153,6
ham,44,3
ham,117,12
ham,55,3
ham,124,4
spam,136,5
ham,109,11
ham,65,9
ham,16,6
ham,50,3
ham,46,9
ham,4,0
ham,35,0
ham,95,3
ham,57,0
ham,132,5
ham,56,2
ham,62,7
ham,25,1
ham,38,2
ham,46,9
spam,154,6
ham,32,6
ham,49,2
ham,243,7
ham,42,7
ham,41,1
ham,51,1
ham,81,11
spam,173,6
ham,9,1
ham,136,6
ham,9,3
ham,25,2
ham,27,7
spam,106,7
ham,45,2
ham,115,3
ham,65,10
ham,139,7
ham,28,2
spam,153,8
ham,30,1
ham,53,3
ham,59,2
ham,44,2
ham,26,1
ham,85,2
ham,23,0
ham,27,0
ham,47,3
spam,146,6
ham,49,3
ham,126,5
ham,32,1
ham,22,2
ham,107,5
ham,46,9
ham,96,10
ham,157,3
ham,50,1
ham,63,3
ham,29,1
ham,87,7
